Neurological Disease,Source,Disease Class
Cerebral venous thrombosis of superior sagittal vein,ICD,Diseases of the nervous system
Cerebral venous thrombosis of transverse sinus,ICD,Diseases of the nervous system
Cerebro Hepato Renal Syndrome,MeSH,Central Nervous System Diseases
Cerebro Oculo Renal Syndrome,MeSH,Central Nervous System Diseases
Cerebro-Hepato-Renal Syndrome,MeSH,Central Nervous System Diseases
Cerebro-Oculo-Renal Syndrome,MeSH,Central Nervous System Diseases
Cerebro-oculo-nasal syndrome,ICD,Diseases of the nervous system
Cerebroacrovisceral Early Lethality Complex,MeSH,Central Nervous System Diseases
Cerebroatrophic Hyperammonemia,MeSH,Neurologic Manifestations
Cerebroatrophic Hyperammonemias,MeSH,Neurologic Manifestations
Cerebrohepatorenal Syndrome,MeSH,Central Nervous System Diseases
Cerebromalacia,MeSH,Central Nervous System Diseases
Cerebromalacias,MeSH,Central Nervous System Diseases
Cerebromeningitides,MeSH,Central Nervous System Diseases
Cerebromeningitis,MeSH,Central Nervous System Diseases
Cerebroocular Dysplasia Muscular Dystrophy Syndrome,MeSH,Nervous System Malformations
Cerebroocular Dysplasia-Muscular Dystrophy Syndrome,MeSH,Nervous System Malformations
Cerebrooculorenal Syndrome,MeSH,Central Nervous System Diseases
"Cerebroside Lipidoses, Glucosyl",MeSH,Central Nervous System Diseases
Cerebroside Lipidosis Syndrome,MeSH,Central Nervous System Diseases
Cerebroside Lipidosis Syndromes,MeSH,Central Nervous System Diseases
"Cerebroside Lipidosis, Glucosyl",MeSH,Central Nervous System Diseases
Cerebroside Sulphatase Deficiency Disease,MeSH,Central Nervous System Diseases
Cerebrospinal Fluid Drainage,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Drainages,MeSH,Neurologic Manifestations
"Cerebrospinal Fluid Effusion, Subdural",MeSH,Central Nervous System Diseases
Cerebrospinal Fluid Leak,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Leakage,MeSH,Neurologic Manifestations
"Cerebrospinal Fluid Leakage, Subdural",MeSH,Central Nervous System Diseases
Cerebrospinal Fluid Leakages,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Leaks,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Otorrhea,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Otorrheas,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Rhinorrhea,MeSH,Neurologic Manifestations
Cerebrospinal Fluid Rhinorrheas,MeSH,Neurologic Manifestations
Cerebrospinal Otorrhea,MeSH,Neurologic Manifestations
Cerebrospinal Rhinorrhea,MeSH,Neurologic Manifestations
Cerebrospinal Rhinorrheas,MeSH,Neurologic Manifestations
Cerebrospinal arachnoiditis,ICD,Diseases of the nervous system
Cerebrospinal effusion,ICD,Diseases of the nervous system
Cerebrospinal fluid collection due to spinal intradural arachnoid cyst,ICD,Diseases of the nervous system
Cerebrospinal fluid fistula,ICD,Diseases of the nervous system
Cerebrospinal fluid leak within cranium,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea due to a dural defect,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea due to an encephalocoele,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea due to congenital malformation of labyrinth,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea due to hydrocephalus giant arachnoid granulations,ICD,Diseases of the nervous system
Cerebrospinal fluid otorrhoea due to infectious process of the middle or mastoid,ICD,Diseases of the nervous system
Cerebrospinal fluid rhinorrhoea,ICD,Diseases of the nervous system
Cerebrospinal fluid rhinorrhoea due to a pituitary tumour,ICD,Diseases of the nervous system
Cerebrospinal fluid rhinorrhoea due to empty Sella syndrome,ICD,Diseases of the nervous system
Cerebrospinal fluid rhinorrhoea due to hydrocephalus,ICD,Diseases of the nervous system
Cerebrospinal fluid rhinorrhoea due to other tumours invading bone,ICD,Diseases of the nervous system
Cerebrotendinous xanthomatosis,ICD,Diseases of the nervous system
Cerebrovascular Accident,MeSH,Central Nervous System Diseases
Cerebrovascular Accidents,MeSH,Central Nervous System Diseases
Cerebrovascular Apoplexy,MeSH,Central Nervous System Diseases
Cerebrovascular Disease,MeSH,Central Nervous System Diseases
"Cerebrovascular Disease, Basal Ganglia",MeSH,Central Nervous System Diseases
Cerebrovascular Diseases,MeSH,Central Nervous System Diseases
Cerebrovascular Disorder,MeSH,Central Nervous System Diseases
Cerebrovascular Disorders,MeSH,Central Nervous System Diseases
Cerebrovascular Moyamoya Disease,MeSH,Central Nervous System Diseases
Cerebrovascular Stroke,MeSH,Central Nervous System Diseases
Cerebrovascular Strokes,MeSH,Central Nervous System Diseases
Cerebrovascular Trauma,MeSH,Central Nervous System Diseases
Cerebrovascular abnormalities,ICD,Diseases of the nervous system
Cerebrovascular abnormalities in Takayasu disease,ICD,Diseases of the nervous system
Cerebrovascular abnormalities in fibromuscular dysplasia,ICD,Diseases of the nervous system
Cerebrovascular abnormalities in sarcoidosis,ICD,Diseases of the nervous system
Cerebrovascular disease due to late-delayed brain irradiation,ICD,Diseases of the nervous system
Cerebrovascular disease with no acute cerebral symptom,ICD,Diseases of the nervous system
Cerebrovascular diseases,ICD,Diseases of the nervous system
Cerebrovascular diseases in developmental abnormalities,ICD,Diseases of the nervous system
Cerebrovascular diseases related to Col4A1,ICD,Diseases of the nervous system
Cerebrovascular diseases related to TREX 1,ICD,Diseases of the nervous system
"Cerebrovascular insufficiency, with transient focal neurological signs and symptoms",ICD,Diseases of the nervous system
Cerebroventricular Neoplasm,MeSH,Central Nervous System Diseases
Cerebroventricular Neoplasms,MeSH,Central Nervous System Diseases
Cerebrum Hemorrhage,MeSH,Central Nervous System Diseases
Cerebrum Hemorrhages,MeSH,Central Nervous System Diseases
Cerebrum cortex injury,ICD,Diseases of the nervous system
Cerebrum ependymitis,ICD,Diseases of the nervous system
Cerebrum meninges injury,ICD,Diseases of the nervous system
"Ceroid Lipofuscinosis, Neuronal",MeSH,Neurodegenerative Diseases
Ceroid Storage Disease,MeSH,Neurodegenerative Diseases
Ceroid Storage Diseases,MeSH,Neurodegenerative Diseases
"Ceroid-Lipofuscinosis, Neuronal",MeSH,Neurodegenerative Diseases
Certain multiple specified psychoactive substances-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain other specified psychoactive substance-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain paralytic strabismus,ICD,Diseases of the nervous system
"Certain specified MDMA or related drug-induced mental or behavioural disorders, including MDA",ICD,Diseases of the nervous system
Certain specified alcohol-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified caffeine-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified cannabis-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified cerebrovascular diseases,ICD,Diseases of the nervous system
Certain specified cervical root disorders,ICD,Diseases of the nervous system
Certain specified cocaine-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified congenital myopathy,ICD,Diseases of the nervous system
Certain specified congenital or developmental myasthenia,ICD,Diseases of the nervous system
Certain specified demyelinating diseases of central nervous system,ICD,Diseases of the nervous system
"Certain specified dissociative drugs -induced mental or behavioural disorders, including ketamine and phencyclidine [PCP]",ICD,Diseases of the nervous system
Certain specified dystonia,ICD,Diseases of the nervous system
Certain specified forms of hereditary sensory or autonomic neuropathy,ICD,Diseases of the nervous system
Certain specified hallucinogen-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified infectious myelopathies,ICD,Diseases of the nervous system
Certain specified injuries of cervical spinal cord,ICD,Diseases of the nervous system
Certain specified injuries of head,ICD,Diseases of the nervous system
Certain specified injuries of lumbar spinal cord,ICD,Diseases of the nervous system
Certain specified injuries of neck,ICD,Diseases of the nervous system
Certain specified injuries of sacral spinal cord,ICD,Diseases of the nervous system
Certain specified injuries of thoracic spinal cord,ICD,Diseases of the nervous system
Certain specified lesion of median nerve,ICD,Diseases of the nervous system
Certain specified leukodystrophies,ICD,Diseases of the nervous system
Certain specified lumbosacral root disorders,ICD,Diseases of the nervous system
Certain specified mononeuropathies,ICD,Diseases of the nervous system
Certain specified mononeuropathies of upper limb,ICD,Diseases of the nervous system
Certain specified movement disorder,ICD,Diseases of the nervous system
Certain specified myofibrillar myopathy,ICD,Diseases of the nervous system
Certain specified nerve root or plexus disorders,ICD,Diseases of the nervous system
Certain specified neurological disorder aquaporin-4 antibody positive,ICD,Diseases of the nervous system
Certain specified neurological disorders due to nutrient deficiency,ICD,Diseases of the nervous system
Certain specified neurological disorders due to overweight or obesity,ICD,Diseases of the nervous system
Certain specified neurological disorders due to toxicity,ICD,Diseases of the nervous system
Certain specified neuromuscular junction disorder,ICD,Diseases of the nervous system
Certain specified opioid-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified primary degenerative dementias,ICD,Diseases of the nervous system
Certain specified primary disorders of muscles,ICD,Diseases of the nervous system
Certain specified rare distal myopathy,ICD,Diseases of the nervous system
Certain specified rare variants of multiple sclerosis,ICD,Diseases of the nervous system
Certain specified secondary causes of parkinsonism not classified above,ICD,Diseases of the nervous system
"Certain specified sedatives, hypnotics or anxiolytic-induced mental or behavioural disorders",ICD,Diseases of the nervous system
Certain specified stereotypic disorders,ICD,Diseases of the nervous system
"Certain specified stimulant-induced mental or behavioural disorders including amphetamines, methamphetamine or methcathinone",ICD,Diseases of the nervous system
Certain specified syndrome of delayed hypoxic cerebral demyelination,ICD,Diseases of the nervous system
Certain specified synthetic cannabinoids-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified synthetic cathinone-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain specified thoracic root disorders,ICD,Diseases of the nervous system
Certain specified volatile inhalants-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Certain unknown or unspecified psychoactive substance-induced mental or behavioural disorders,ICD,Diseases of the nervous system
Cervical Rib Syndrome,MeSH,Neuromuscular Diseases
Cervical Rib Syndromes,MeSH,Neuromuscular Diseases
Cervical disc disorder with myelopathy,ICD,Diseases of the nervous system
Cervical disc disorder with radiculopathy,ICD,Diseases of the nervous system
Cervical dystonia,ICD,Diseases of the nervous system
Cervical dystonia or spasmodic torticollis,ICD,Diseases of the nervous system
Cervical spina bifida aperta,ICD,Diseases of the nervous system
Cervical spina bifida cystica with hydrocephalus,ICD,Diseases of the nervous system
Cervical spina bifida cystica without hydrocephalus,ICD,Diseases of the nervous system
Cervical spinal cord compression,ICD,Diseases of the nervous system
Cervical spinal trauma,ICD,Diseases of the nervous system
Cervical spine cord concussion,ICD,Diseases of the nervous system
Cervical spondylitic cord compression,ICD,Diseases of the nervous system
Cervical spondylosis with myelopathy,ICD,Diseases of the nervous system
Cervical vertebra fracture dislocation,ICD,Diseases of the nervous system
Cervicogenic headache,ICD,Diseases of the nervous system
Cervicothoracic spina bifida aperta,ICD,Diseases of the nervous system
Cervicothoracic spina bifida cystica with hydrocephalus,ICD,Diseases of the nervous system
Cervicothoracic spina bifida cystica without hydrocephalus,ICD,Diseases of the nervous system
Channelopathy-Associated Insensitivity To Pain,MeSH,Neuromuscular Diseases
Charcot Disease,MeSH,Central Nervous System Diseases
Charcot Marie Disease,MeSH,Neuromuscular Diseases
Charcot Marie Tooth Disease,MeSH,Neuromuscular Diseases
Charcot Marie Tooth Hereditary Neuropathy,MeSH,Neuromuscular Diseases
Charcot Marie Tooth Syndrome,MeSH,Neuromuscular Diseases
Charcot-Marie Disease,MeSH,Neuromuscular Diseases
Charcot-Marie-Tooth Disease,MeSH,Neuromuscular Diseases
Charcot-Marie-Tooth Hereditary Neuropathy,MeSH,Neuromuscular Diseases
Charcot-Marie-Tooth Syndrome,MeSH,Neuromuscular Diseases
Charcot-Marie-Tooth disease - deafness - intellectual deficit,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease - nephropathy,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 1 autosomal dominant,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 1 autosomal dominant due to chromosome 17 duplication,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 1 autosomal recessive,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 1 demyelinating,ICD,Diseases of the nervous system
"Charcot-Marie-Tooth disease 1X, x-linked Charcot-Marie-Tooth disease 1 due to mutations in gap junction protein beta 1",ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 2 autosomal dominant,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 2 autosomal recessive,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease 2 axonal,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 1B,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 1C,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 1D,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 1E,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 1F,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 2A1,ICD,Diseases of the nervous system
Charcot-Marie-Tooth disease type 2A2,ICD,Diseases of the nervous system
